rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
11,LLM,llm-course,48895,5228,Jupyter Notebook,https://github.com/mlabonne/llm-course,mlabonne,48,2025-01-22T22:32:51Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
12,LLM,ragflow,47812,4451,TypeScript,https://github.com/infiniflow/ragflow,infiniflow,1697,2025-04-03T14:12:50Z,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
13,LLM,LLaMA-Factory,46039,5621,Python,https://github.com/hiyouga/LLaMA-Factory,hiyouga,413,2025-04-03T20:57:06Z,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
14,LLM,LLMs-from-scratch,43572,6020,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,0,2025-04-03T02:41:37Z,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
15,LLM,vllm,43465,6632,Python,https://github.com/vllm-project/vllm,vllm-project,1563,2025-04-04T01:33:36Z,A high-throughput and memory-efficient inference and serving engine for LLMs
16,LLM,anything-llm,42217,4076,JavaScript,https://github.com/Mintplex-Labs/anything-llm,Mintplex-Labs,239,2025-04-04T00:30:09Z,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more."
17,LLM,llama_index,40665,5784,Python,https://github.com/run-llama/llama_index,run-llama,712,2025-04-04T00:33:08Z,LlamaIndex is the leading framework for building LLM-powered agents over your data.
18,LLM,quivr,37649,3634,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,23,2025-04-02T09:32:29Z,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. "
19,LLM,Pake,37063,6670,Rust,https://github.com/tw93/Pake,tw93,42,2025-03-25T12:35:16Z,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 利用 Rust 轻松构建轻量级多端桌面应用
20,LLM,Flowise,36890,19228,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,517,2025-04-03T14:43:38Z,Drag & drop UI to build your customized LLM flow
21,LLM,crawl4ai,36634,3222,Python,https://github.com/unclecode/crawl4ai,unclecode,87,2025-04-03T12:34:22Z,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
22,LLM,unsloth,36484,2827,Python,https://github.com/unslothai/unsloth,unslothai,933,2025-04-03T04:15:45Z,"Finetune Llama 3.3, DeepSeek-R1, Gemma 3 & Reasoning LLMs 2x faster with 70% less memory! 🦥"
23,LLM,ray,36374,6189,Python,https://github.com/ray-project/ray,ray-project,3804,2025-04-04T02:05:36Z,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
24,LLM,chatgpt-on-wechat,36071,9054,Python,https://github.com/zhayujie/chatgpt-on-wechat,zhayujie,282,2025-03-30T07:12:29Z,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT3.5/GPT-4o/GPT-o1/ DeepSeek/Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Claude/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。
25,LLM,ChatTTS,35569,3856,Python,https://github.com/2noise/ChatTTS,2noise,68,2025-03-14T03:34:46Z,A generative speech model for daily dialogue.
26,LLM,Langchain-Chatchat,34526,5830,TypeScript,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,200,2025-03-25T15:45:51Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain "
27,LLM,firecrawl,34006,2958,TypeScript,https://github.com/mendableai/firecrawl,mendableai,142,2025-04-03T21:30:06Z,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API."
28,LLM,chatbox,33900,3236,TypeScript,https://github.com/chatboxai/chatbox,chatboxai,628,2025-03-20T15:20:56Z,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)"
29,LLM,milvus,33833,3133,Go,https://github.com/milvus-io/milvus,milvus-io,699,2025-04-04T02:12:22Z,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search"
30,LLM,LLM101n,33058,1807,,https://github.com/karpathy/LLM101n,karpathy,0,2024-08-01T01:20:33Z,LLM101n: Let's build a Storyteller
31,LLM,LocalAI,31448,2387,Go,https://github.com/mudler/LocalAI,mudler,417,2025-04-03T22:59:49Z,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference"
32,LLM,Mr.-Ranedeer-AI-Tutor,29474,3375,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,13,2024-03-25T13:06:55Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
33,LLM,khoj,28452,1576,Python,https://github.com/khoj-ai/khoj,khoj-ai,71,2025-04-04T00:41:22Z,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free."
34,LLM,mem0,27154,2584,Python,https://github.com/mem0ai/mem0,mem0ai,235,2025-04-03T05:16:07Z,The Memory layer for AI Agents
35,LLM,awesome-llm-apps,26926,3031,Python,https://github.com/Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,7,2025-03-31T02:25:46Z,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
36,LLM,ChatDev,26609,3371,Python,https://github.com/OpenBMB/ChatDev,OpenBMB,24,2025-04-03T09:05:29Z,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration)
37,LLM,1Panel,26417,2337,Go,https://github.com/1Panel-dev/1Panel,1Panel-dev,632,2025-04-03T16:15:59Z,"🔥 1Panel offers an intuitive web interface for managing websites, files, containers, databases and LLMs within a Linux server."
38,LLM,llm.c,26229,3017,Cuda,https://github.com/karpathy/llm.c,karpathy,79,2024-10-02T01:25:39Z,"LLM training in simple, raw C/CUDA"
39,LLM,MoneyPrinterTurbo,25843,3779,Python,https://github.com/harry0703/MoneyPrinterTurbo,harry0703,115,2025-03-23T10:45:27Z,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.
40,LLM,continue,25209,2537,TypeScript,https://github.com/continuedev/continue,continuedev,711,2025-04-04T02:04:30Z,"⏩ Create, share, and use custom AI code assistants with our open-source IDE extensions and hub of models, rules, prompts, docs, and other building blocks"
41,LLM,composio,24847,4400,Python,https://github.com/ComposioHQ/composio,ComposioHQ,34,2025-04-03T23:02:14Z,Composio equip's your AI agents & LLMs with 100+ high-quality integrations via function calling
42,LLM,one-api,24351,5060,JavaScript,https://github.com/songquanpeng/one-api,songquanpeng,823,2025-02-21T11:30:22Z,"LLM API 管理 & 分发系统，支持 OpenAI、Azure、Anthropic Claude、Google Gemini、DeepSeek、字节豆包、ChatGLM、文心一言、讯飞星火、通义千问、360 智脑、腾讯混元等主流模型，统一 API 适配，可用于 key 管理与二次分发。单可执行文件，提供 Docker 镜像，一键部署，开箱即用。LLM API management & key redistribution system, unifying multiple providers under a single API. Single binary, Docker-ready, with an English UI."
43,LLM,graphrag,24171,2414,Python,https://github.com/microsoft/graphrag,microsoft,144,2025-04-04T00:34:35Z,A modular graph-based Retrieval-Augmented Generation (RAG) system
44,LLM,JARVIS,24070,2008,Python,https://github.com/microsoft/JARVIS,microsoft,80,2024-09-26T06:43:22Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
45,LLM,semantic-kernel,23830,3661,C#,https://github.com/microsoft/semantic-kernel,microsoft,423,2025-04-04T03:06:28Z,Integrate cutting-edge LLM technology quickly and easily into your apps
46,LLM,agno,23786,3028,Python,https://github.com/agno-agi/agno,agno-agi,67,2025-04-03T21:21:03Z,"A lightweight library for building Multimodal Agents. Give LLMs superpowers like memory, knowledge, tools and reasoning."
47,LLM,storm,23698,2073,Python,https://github.com/stanford-oval/storm,stanford-oval,35,2025-01-23T07:21:44Z,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.
48,LLM,pathway,23651,346,Python,https://github.com/pathwaycom/pathway,pathwaycom,39,2025-04-03T16:28:37Z,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG."
49,LLM,FastGPT,23337,6029,TypeScript,https://github.com/labring/FastGPT,labring,479,2025-04-03T13:58:32Z,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration."
50,LLM,llm-app,22894,398,Jupyter Notebook,https://github.com/pathwaycom/llm-app,pathwaycom,5,2025-03-28T11:01:45Z,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more."
51,LLM,gin-vue-admin,22582,6620,Go,https://github.com/flipped-aurora/gin-vue-admin,flipped-aurora,21,2025-04-01T06:25:07Z,🚀Vite+Vue3+Gin拥有AI辅助的基础开发平台，支持TS和JS混用。它集成了JWT鉴权、权限管理、动态路由、显隐可控组件、分页封装、多点登录拦截、资源权限、上传下载、代码生成器、表单生成器和可配置的导入导出等开发必备功能。
52,LLM,Awesome-LLM,22543,1867,,https://github.com/Hannibal046/Awesome-LLM,Hannibal046,6,2025-03-26T02:09:26Z,Awesome-LLM: a curated list of Large Language Model
53,LLM,llamafile,22097,1160,C++,https://github.com/Mozilla-Ocho/llamafile,Mozilla-Ocho,141,2025-04-03T19:07:58Z,Distribute and run LLMs with a single file.
54,LLM,cherry-studio,22025,1859,TypeScript,https://github.com/CherryHQ/cherry-studio,CherryHQ,451,2025-04-04T02:54:36Z,🍒 Cherry Studio is a desktop client that supports for multiple LLM providers. Support deepseek-r1
55,LLM,unilm,21013,2615,Python,https://github.com/microsoft/unilm,microsoft,616,2025-03-04T00:17:39Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
56,LLM,gpt-researcher,20708,2678,Python,https://github.com/assafelovic/gpt-researcher,assafelovic,72,2025-04-02T08:42:43Z,LLM based autonomous agent that conducts deep local and web research on any topic and generates a long report with citations.
57,LLM,mlc-llm,20316,1704,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,234,2025-03-27T21:15:23Z,Universal LLM Deployment Engine with ML Compilation
58,LLM,architecture.of.internet-product,20240,4681,HTML,https://github.com/davideuler/architecture.of.internet-product,davideuler,3,2024-02-17T12:02:24Z,互联网公司技术架构，微信/淘宝/微博/腾讯/阿里/美团点评/百度/OpenAI/Google/Facebook/Amazon/eBay的架构，欢迎PR补充
59,LLM,litellm,20179,2536,Python,https://github.com/BerriAI/litellm,BerriAI,1151,2025-04-04T03:19:21Z,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, Replicate, Groq]"
60,LLM,haystack,20150,2120,Python,https://github.com/deepset-ai/haystack,deepset-ai,127,2025-04-03T16:39:52Z,"AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots."
61,LLM,gitleaks,19390,1574,Go,https://github.com/gitleaks/gitleaks,gitleaks,184,2025-04-03T01:10:47Z,Find secrets with Gitleaks 🔑
62,LLM,Awesome-Chinese-LLM,19326,1863,,https://github.com/HqWu-HITCS/Awesome-Chinese-LLM,HqWu-HITCS,5,2024-09-19T11:06:18Z,整理开源的中文大语言模型，以规模较小、可私有化部署、训练成本较低的模型为主，包括底座模型，垂直领域微调及应用，数据集与教程等。
63,LLM,Scrapegraph-ai,18940,1607,Python,https://github.com/ScrapeGraphAI/Scrapegraph-ai,ScrapeGraphAI,27,2025-03-27T17:02:41Z,Python scraper based on AI
64,LLM,pandas-ai,18817,1762,Python,https://github.com/sinaptik-ai/pandas-ai,sinaptik-ai,18,2025-03-21T11:25:32Z,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG."
65,LLM,Chinese-LLaMA-Alpaca,18779,1890,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,1,2024-04-30T04:28:38Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
66,LLM,peft,18005,1809,Python,https://github.com/huggingface/peft,huggingface,25,2025-04-03T15:16:10Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
67,LLM,CopilotKit,18005,2581,TypeScript,https://github.com/CopilotKit/CopilotKit,CopilotKit,109,2025-04-04T01:50:12Z,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁"
68,LLM,Qwen,17739,1462,Python,https://github.com/QwenLM/Qwen,QwenLM,13,2025-03-28T03:15:58Z,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.
69,LLM,crawlee,17336,786,TypeScript,https://github.com/apify/crawlee,apify,136,2025-04-03T14:35:48Z,"Crawlee—A web scraping and browser automation library for Node.js to build reliable crawlers. In JavaScript and TypeScript. Extract data for AI, LLMs, RAG, or GPTs. Download HTML, PDF, JPG, PNG, and other files from websites. Works with Puppeteer, Playwright, Cheerio, JSDOM, and raw HTTP. Both headful and headless mode. With proxy rotation."
70,LLM,agentic,17249,2200,TypeScript,https://github.com/transitive-bullshit/agentic,transitive-bullshit,10,2025-04-03T19:33:07Z,AI agent stdlib that works with any LLM and TypeScript AI SDK.
71,LLM,Janus,17019,2223,Python,https://github.com/deepseek-ai/Janus,deepseek-ai,144,2025-02-01T07:58:29Z,Janus-Series: Unified Multimodal Understanding and Generation Models
72,LLM,llm-cookbook,16610,2065,Jupyter Notebook,https://github.com/datawhalechina/llm-cookbook,datawhalechina,11,2025-02-25T12:01:58Z,面向开发者的 LLM 入门教程，吴恩达大模型系列课程中文版
73,LLM,llama-cookbook,16571,2397,Jupyter Notebook,https://github.com/meta-llama/llama-cookbook,meta-llama,16,2025-04-01T09:12:22Z,"Welcome to the Llama Cookbook! This is your go to guide for Building with Llama: Getting started with Inference, Fine-Tuning, RAG. We also show you how to solve end to end problems using Llama model family and using them on various provider services  "
74,LLM,SuperAGI,16153,1946,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,141,2025-01-22T22:14:07Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
75,LLM,llm-action,16088,1869,HTML,https://github.com/liguodongiot/llm-action,liguodongiot,13,2025-03-02T02:51:31Z,本项目旨在分享大模型相关技术原理以及实战经验（大模型工程化、大模型应用落地）
76,LLM,DB-GPT,15958,2158,Python,https://github.com/eosphoros-ai/DB-GPT,eosphoros-ai,324,2025-04-03T02:47:03Z,AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents
77,LLM,RagaAI-Catalyst,15957,3807,Python,https://github.com/raga-ai-hub/RagaAI-Catalyst,raga-ai-hub,6,2025-04-01T05:11:48Z,"Python SDK for Agent AI Observability, Monitoring and Evaluation Framework. Includes features like agent, llm and tools tracing, debugging multi-agentic system, self-hosted dashboard and advanced analytics with timeline and execution graph view "
78,LLM,evals,15820,2680,Python,https://github.com/openai/evals,openai,96,2024-12-18T22:09:47Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
79,LLM,kubesphere,15784,2193,Go,https://github.com/kubesphere/kubesphere,kubesphere,592,2025-04-02T05:38:15Z,"The container platform tailored for Kubernetes multi-cloud, datacenter, and edge management ⎈ 🖥 ☁️"
80,LLM,ChatGLM2-6B,15749,1851,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,430,2024-06-27T04:05:08Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
81,LLM,letta,15729,1635,Python,https://github.com/letta-ai/letta,letta-ai,27,2025-03-31T18:22:06Z,"Letta (formerly MemGPT) is the stateful agents framework with memory, reasoning, and context management."
82,LLM,DocsGPT,15498,1655,TypeScript,https://github.com/arc53/DocsGPT,arc53,34,2025-04-03T20:46:14Z,"DocsGPT is an open-source genAI tool that helps users get reliable answers from knowledge source, while avoiding hallucinations. It enables private and reliable information retrieval, with tooling and agentic system capability built in."
83,LLM,MaxKB,15447,2026,Python,https://github.com/1Panel-dev/MaxKB,1Panel-dev,117,2025-04-03T09:12:03Z,"💬 MaxKB is a ready-to-use RAG chatbot that features robust workflow and MCP tool-use capabilities. It supports a wide range of mainstream large language models (LLMs), including DeepSeek-R1, Llama 3.3, OpenAI, among others."
84,LLM,ChuanhuChatGPT,15404,2288,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,122,2025-03-13T09:36:38Z,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI."
85,LLM,SWE-agent,15264,1551,Python,https://github.com/SWE-agent/SWE-agent,SWE-agent,28,2025-04-03T23:47:17Z,"SWE-agent takes a GitHub issue and tries to automatically fix it, using GPT-4, or your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] "
86,LLM,web-llm,15141,988,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,98,2025-01-21T08:18:46Z,High-performance In-browser LLM Inference Engine 
87,LLM,vanna,14626,1304,Python,https://github.com/vanna-ai/vanna,vanna-ai,147,2025-02-08T17:30:27Z,🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.
88,LLM,Llama-Chinese,14517,1299,Python,https://github.com/LlamaFamily/Llama-Chinese,LlamaFamily,196,2024-09-05T13:50:43Z,Llama中文社区，Llama3在线体验和微调模型已开放，实时汇总最新Llama3学习资料，已将所有代码更新适配Llama3，构建最好的中文Llama大模型，完全开源可商用
89,LLM,self-llm,14385,1643,Jupyter Notebook,https://github.com/datawhalechina/self-llm,datawhalechina,128,2025-04-02T10:28:46Z,《开源大模型食用指南》针对中国宝宝量身打造的基于Linux环境快速微调（全参数/Lora）、部署国内外开源大模型（LLM）/多模态大模型（MLLM）教程
90,LLM,repomix,14123,601,TypeScript,https://github.com/yamadashy/repomix,yamadashy,67,2025-04-02T16:15:07Z,"📦 Repomix (formerly Repopack) is a powerful tool that packs your entire repository into a single, AI-friendly file. Perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like Claude, ChatGPT, DeepSeek, Perplexity, Gemini, Gemma, Llama, Grok, and more."
91,LLM,RAG_Techniques,13842,1432,Jupyter Notebook,https://github.com/NirDiamant/RAG_Techniques,NirDiamant,2,2025-04-01T20:32:27Z,This repository showcases various advanced techniques for Retrieval-Augmented Generation (RAG) systems. RAG systems combine information retrieval with generative models to provide accurate and contextually rich responses.
92,LLM,ChatGLM3,13676,1605,Python,https://github.com/THUDM/ChatGLM3,THUDM,28,2025-01-13T06:55:26Z,ChatGLM3 series: Open Bilingual Chat LLMs | 开源双语对话语言模型
93,LLM,botpress,13496,1941,TypeScript,https://github.com/botpress/botpress,botpress,8,2025-04-03T20:32:36Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
94,LLM,RWKV-LM,13471,905,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,100,2025-03-20T11:58:19Z,"RWKV (pronounced RwaKuv) is an RNN with great LLM performance, which can also be directly trained like a GPT transformer (parallelizable). We are at RWKV-7 ""Goose"". So it's combining the best of RNN and transformer - great performance, linear time, constant space (no kv-cache), fast training, infinite ctx_len, and free sentence embedding."
95,LLM,LightRAG,13435,1903,Python,https://github.com/HKUDS/LightRAG,HKUDS,173,2025-04-03T09:46:33Z,"""LightRAG: Simple and Fast Retrieval-Augmented Generation"""
96,LLM,ktransformers,13321,919,Python,https://github.com/kvcache-ai/ktransformers,kvcache-ai,461,2025-04-03T11:57:04Z,A Flexible Framework for Experiencing Cutting-edge LLM Inference Optimizations
97,LLM,ml-engineering,13307,810,Python,https://github.com/stas00/ml-engineering,stas00,0,2025-04-03T04:55:17Z,Machine Learning Engineering Open Book
98,LLM,ai,13125,2028,TypeScript,https://github.com/vercel/ai,vercel,382,2025-04-03T20:59:46Z,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents "
99,LLM,SillyTavern,13094,3025,JavaScript,https://github.com/SillyTavern/SillyTavern,SillyTavern,210,2025-04-03T20:48:05Z,LLM Frontend for Power Users.
100,LLM,dalai,13081,1402,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,293,2024-06-18T20:29:46Z,The simplest way to run LLaMA on your local machine
1,ChatGPT,awesome-chatgpt-prompts,122547,16421,JavaScript,https://github.com/f/awesome-chatgpt-prompts,f,0,2025-03-18T23:07:19Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
2,ChatGPT,NextChat,82466,61069,TypeScript,https://github.com/ChatGPTNextWeb/NextChat,ChatGPTNextWeb,617,2025-03-31T10:34:35Z,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows
3,ChatGPT,generative-ai-for-beginners,77656,39987,Jupyter Notebook,https://github.com/microsoft/generative-ai-for-beginners,microsoft,8,2025-03-27T12:20:46Z,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/"
4,ChatGPT,gpt_academic,68087,8333,Python,https://github.com/binary-husky/gpt_academic,binary-husky,250,2025-03-24T16:13:18Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
5,ChatGPT,gpt4free,63955,13583,Python,https://github.com/xtekky/gpt4free,xtekky,32,2025-04-03T15:14:29Z,"The official gpt4free repository | various collection of powerful language models | o3 and deepseek r1, gpt-4.5"
6,ChatGPT,openai-cookbook,62617,10146,MDX,https://github.com/openai/openai-cookbook,openai,40,2025-04-02T00:07:32Z,Examples and guides for using the OpenAI API
7,ChatGPT,open-interpreter,59002,5027,Python,https://github.com/OpenInterpreter/open-interpreter,OpenInterpreter,214,2025-03-30T20:30:55Z,A natural language interface for computers
8,ChatGPT,lobe-chat,58549,12423,TypeScript,https://github.com/lobehub/lobe-chat,lobehub,658,2025-04-04T00:29:26Z,"🤯 Lobe Chat - an open-source, modern-design AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / DeepSeek / Qwen), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modals (Plugins/Artifacts) and Thinking. One-click FREE deployment of your private ChatGPT/ Claude / DeepSeek application."
9,ChatGPT,awesome-chatgpt-prompts-zh,54663,13570,,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,PlexPt,38,2025-01-01T08:34:33Z,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。
10,ChatGPT,Prompt-Engineering-Guide,54663,5371,MDX,https://github.com/dair-ai/Prompt-Engineering-Guide,dair-ai,140,2025-03-31T21:19:28Z,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering"
11,ChatGPT,langflow,53937,5914,Python,https://github.com/langflow-ai/langflow,langflow-ai,393,2025-04-04T01:12:19Z,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
12,ChatGPT,ChatGPT,53668,6059,Rust,https://github.com/lencx/ChatGPT,lencx,785,2024-08-29T17:58:11Z,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)"
13,ChatGPT,OpenHands,52292,5800,Python,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI,222,2025-04-04T02:13:03Z,"🙌 OpenHands: Code Less, Make More"
14,ChatGPT,ragflow,47812,4451,TypeScript,https://github.com/infiniflow/ragflow,infiniflow,1697,2025-04-03T14:12:50Z,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
15,ChatGPT,LLMs-from-scratch,43572,6020,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,0,2025-04-03T02:41:37Z,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
16,ChatGPT,autogen,42658,6389,Python,https://github.com/microsoft/autogen,microsoft,478,2025-04-03T22:57:42Z,A programming framework for agentic AI 🤖 PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour
